010120160000  1.571
010120160010  1.610
010120160020  1.652
010120160030  1.683
010120160040  1.718
010120160050  1.744
010120160100  1.768
010120160110  1.790
010120160120  1.808
010120160130  1.821
010120160140  1.841
010120160150  1.844
010120160200  1.838
010120160210  1.834
010120160220  1.822
010120160230  1.806
010120160240  1.787
010120160250  1.766
010120160300  1.736
010120160310  1.701
010120160320  1.671
010120160330  1.642
010120160340  1.604
010120160350  1.560
010120160400  1.511
010120160410  1.464
010120160420  1.421
010120160430  1.382
010120160440  1.342
010120160450  1.309
010120160500  1.274
010120160510  1.240
010120160520  1.199
010120160530  1.159
010120160540  1.117
010120160550  1.081
010120160600  1.043
010120160610  1.000
010120160620  0.969
010120160630  0.943
010120160640  0.925
010120160650  0.910
010120160700  0.897
010120160710  0.877
010120160720  0.858
010120160730  0.840
010120160740  0.837
010120160750  0.843
010120160800  0.849
010120160810  0.865
010120160820  0.877
010120160830  0.896
010120160840  0.922
010120160850  0.946
010120160900  0.987
010120160910  1.022
010120160920  1.057
010120160930  1.099
010120160940  1.145
010120160950  1.197
010120161000  1.250
010120161010  1.300
010120161020  1.342
010120161030  1.386
010120161040  1.429
010120161050  1.475
010120161100  1.523
010120161110  1.575
010120161120  1.629
010120161130  1.682
010120161140  1.733
010120161150  1.781
010120161200  1.821
010120161210  1.862
010120161220  1.904
010120161230  1.948
010120161240  1.990
010120161250  2.031
010120161300  2.057
010120161310  2.084
010120161320  2.110
010120161330  2.128
010120161340  2.141
010120161350  2.146
010120161400  2.145
010120161410  2.149
010120161420  2.135
010120161430  2.119
010120161440  2.098
010120161450  2.069
010120161500  2.030
010120161510  2.000
010120161520  1.959
010120161530  1.921
010120161540  1.871
010120161550  1.825
010120161600  1.774
010120161610  1.733
010120161620  1.682
010120161630  1.627
010120161640  1.567
010120161650  1.519
010120161700  1.463
010120161710  1.411
010120161720  1.362
010120161730  1.313
010120161740  1.265
010120161750  1.216
010120161800  1.163
010120161810  1.118
010120161820  1.068
010120161830  1.030
010120161840  0.986
010120161850  0.943
010120161900  0.899
010120161910  0.855
010120161920  0.820
010120161930  0.787
010120161940  0.765
010120161950  0.734
010120162000  0.720
010120162010  0.702
010120162020  0.693
010120162030  0.681
010120162040  0.681
010120162050  0.678
010120162100  0.687
010120162110  0.696
010120162120  0.715
010120162130  0.731
010120162140  0.760
010120162150  0.784
010120162200  0.824
010120162210  0.847
010120162220  0.885
010120162230  0.927
010120162240  0.975
010120162250  1.025
010120162300  1.068
010120162310  1.116
010120162320  1.163
010120162330  1.212
