010120170000  1.878
010120170010  1.828
010120170020  1.787
010120170030  1.734
010120170040  1.677
010120170050  1.628
010120170100  1.565
010120170110  1.501
010120170120  1.440
010120170130  1.387
010120170140  1.331
010120170150  1.279
010120170200  1.220
010120170210  1.168
010120170220  1.114
010120170230  1.055
010120170240  0.994
010120170250  0.934
010120170300  0.875
010120170310  0.820
010120170320  0.775
010120170330  0.729
010120170340  0.690
010120170350  0.655
010120170400  0.621
010120170410  0.588
010120170420  0.556
010120170430  0.531
010120170440  0.506
010120170450  0.487
010120170500  0.474
010120170510  0.478
010120170520  0.478
010120170530  0.501
010120170540  0.530
010120170550  0.568
010120170600  0.608
010120170610  0.657
010120170620  0.718
010120170630  0.780
010120170640  0.842
010120170650  0.911
010120170700  0.980
010120170710  1.052
010120170720  1.114
010120170730  1.196
010120170740  1.277
010120170750  1.345
010120170800  1.417
010120170810  1.481
010120170820  1.556
010120170830  1.632
010120170840  1.709
010120170850  1.779
010120170900  1.853
010120170910  1.918
010120170920  1.989
010120170930  2.050
010120170940  2.108
010120170950  2.168
010120171000  2.222
010120171010  2.273
010120171020  2.325
010120171030  2.372
010120171040  2.411
010120171050  2.436
010120171100  2.469
010120171110  2.481
010120171120  2.495
010120171130  2.498
010120171140  2.498
010120171150  2.491
010120171200  2.476
010120171210  2.454
010120171220  2.415
010120171230  2.374
010120171240  2.322
010120171250  2.267
010120171300  2.211
010120171310  2.160
010120171320  2.101
010120171330  2.042
010120171340  1.982
010120171350  1.912
010120171400  1.839
010120171410  1.769
010120171420  1.708
010120171430  1.639
010120171440  1.578
010120171450  1.518
010120171500  1.461
010120171510  1.402
010120171520  1.340
010120171530  1.274
010120171540  1.214
010120171550  1.153
010120171600  1.101
010120171610  1.046
010120171620  0.995
010120171630  0.948
010120171640  0.906
010120171650  0.865
010120171700  0.820
010120171710  0.777
010120171720  0.744
010120171730  0.710
010120171740  0.692
010120171750  0.677
010120171800  0.666
010120171810  0.664
010120171820  0.668
010120171830  0.678
010120171840  0.696
010120171850  0.718
010120171900  0.747
010120171910  0.779
010120171920  0.812
010120171930  0.859
010120171940  0.916
010120171950  0.962
010120172000  1.020
010120172010  1.075
010120172020  1.131
010120172030  1.189
010120172040  1.249
010120172050  1.303
010120172100  1.361
010120172110  1.420
010120172120  1.475
010120172130  1.522
010120172140  1.569
010120172150  1.622
010120172200  1.667
010120172210  1.708
010120172220  1.754
010120172230  1.796
010120172240  1.832
010120172250  1.858
010120172300  1.889
010120172310  1.910
010120172320  1.933
010120172330  1.943
010120172340  1.938
010120172350  1.943
020120170000  1.941
020120170010  1.924
020120170020  1.899
020120170030  1.865
020120170040  1.829
020120170050  1.792
020120170100  1.754
020120170110  1.706
020120170120  1.651
020120170130  1.597
020120170140  1.543
020120170150  1.488
020120170200  1.428
020120170210  1.365
020120170220  1.308
020120170230  1.255
020120170240  1.196
020120170250  1.143
020120170300  1.089
020120170310  1.029
020120170320  0.984
020120170330  0.934
020120170340  0.891
020120170350  0.844
020120170400  0.799
020120170410  0.750
020120170420  0.706
020120170430  0.662
020120170440  0.622
020120170450  0.595
020120170500  0.567
020120170510  0.550
020120170520  0.530
020120170530  0.531
020120170540  0.520
020120170550  0.524
020120170600  0.531
020120170610  0.557
020120170620  0.581
020120170630  0.616
020120170640  0.651
020120170650  0.695
020120170700  0.750
020120170710  0.813
020120170720  0.883
020120170730  0.950
020120170740  1.023
020120170750  1.084
020120170800  1.158
020120170810  1.231
020120170820  1.300
020120170830  1.377
020120170840  1.439
020120170850  1.515
020120170900  1.586
020120170910  1.654
020120170920  1.717
020120170930  1.788
020120170940  1.860
020120170950  1.927
020120171000  1.993
020120171010  2.052
020120171020  2.109
020120171030  2.168
020120171040  2.233
020120171050  2.277
020120171100  2.323
020120171110  2.364
020120171120  2.404
020120171130  2.426
020120171140  2.452
020120171150  2.467
